title,content,url,images,priority,source,videoUrl
,,,urlhere,,,
Police Use of Lethal Force at Nepal Protests,The use of excessive force against peaceful protesters has drawn international condemnation. Human Rights Watch calls for immediate investigation into the deaths of 73 protesters.,https://www.hrw.org/news/2025/09/17/nepal-investigate-use-force-against-protesters,http://localhost:3000/images/APTOPIX_Nepal_Protest_42018.jpg,1,hrw.org,
Gen Z Martyrs Remembered,The youth of Nepal have shown incredible courage in standing up for justice. Their sacrifice will not be forgotten.,https://ekantipur.com/news/2025/09/17/even-after-taking-two-bullets-he-walked-in-the-movement-38-59.html,http://localhost:3000/images/gettyimages-2235037950-612x612.jpg,1,ekantipur.com,
International Condemnation,Amnesty International calls for accountability in Nepal protests. The world is watching.,https://www.amnesty.org/en/latest/news/2025/09/nepal-investigate-use-of-force-against-protesters/,http://localhost:3000/images/gettyimages-2235348937-612x612.jpg,1,amnesty.org,
Dark Future Ahead,Uncertainty lies ahead for Nepal's Gen Z protest victims' families. The struggle for justice continues.,https://ekantipur.com/news/2025/09/17/amit-who-was-shot-at-the-demonstration-is-worried-about-paying-the-bank-installment-37-55.html,http://localhost:3000/images/1758042430_222_Dark-future-uncertainty-lies-ahead-for-Nepal039s-Gen-Z-protest-victims039.jpeg,1,ekantipur.com,
Children's Future Taken Away,The youngest victims of this tragedy. Their dreams were cut short by senseless violence.,https://ekantipur.com/news/2025/09/17/childrens-future-was-also-taken-away-03-54.html,http://localhost:3000/images/547211383_1233877072113300_1485117028804911691_n.jpg,1,ekantipur.com,
Rasik's Business Dreams,Rasik was interested in business and had big plans for the future. His life was taken too soon.,https://ekantipur.com/news/2025/09/17/rasik-was-interested-in-business-59-43.html,http://localhost:3000/images/547648188_1238138331687174_955949851892644444_n.jpg,1,ekantipur.com,
Shri Krishna's Malta Plans,Shri Krishna was preparing to go to Malta for better opportunities. His journey was cut short.,https://ekantipur.com/news/2025/09/17/shri-krishna-was-preparing-to-go-to-malta-52-59.html,http://localhost:3000/images/548003452_1240820398085634_204444088298938469_n.jpg,1,ekantipur.com,
Wage Labor Family,He raised his family by doing wage labor. A hardworking man who deserved better.,https://ekantipur.com/news/2025/09/17/he-raised-his-family-by-doing-wage-labor-37-44.html,http://localhost:3000/images/548031066_1238132615021079_2652590861220472916_n.jpg,1,ekantipur.com,
Foreign Employment Dreams,He was preparing for foreign employment to support his family. His plans were shattered.,https://ekantipur.com/news/2025/09/17/he-was-preparing-for-foreign-employment-16-58.html,http://localhost:3000/images/548315606_1238239265010414_5993165357959979424_n.jpg,1,ekantipur.com,
Lost Dreams on the Road,Whose dreams were lost on the road. The youth of Nepal deserve justice.,https://ekantipur.com/news/2025/09/17/whose-dreams-were-lost-on-the-road-36-25.html,http://localhost:3000/images/IMG_1571-scaled.webp,1,ekantipur.com,
Higher Education Student,Ojan Astaay who is studying higher education. A bright future cut short.,https://ekantipur.com/news/2025/09/17/ojan-astaay-who-is-studying-higher-education-38-16.html,http://localhost:3000/images/PTI09_16_2025_000211B.jpg,1,ekantipur.com,
Sahara Fell in a Moment,Sahara fell in a moment. The pain of losing a loved one is immeasurable.,https://ekantipur.com/news/2025/09/17/sahara-fell-in-a-moment-38-50.html,http://localhost:3000/images/PTI09_12_2025_000352B.webp,1,ekantipur.com,
Social Media Identity,Chhatraman's identity was revealed through social media. The power of digital activism.,https://ekantipur.com/news/2025/09/17/chhatramans-identity-was-revealed-through-social-media-40-19.html,http://localhost:3000/images/skynews-nepal-protests_7017681.jpg,1,ekantipur.com,
Sky of Relatives Fell,And the sky of relatives fell. The entire nation mourns these losses.,https://ekantipur.com/news/2025/09/17/and-the-sky-of-relatives-fell-37-06.html,http://localhost:3000/images/Untitled-design-75.avif,1,ekantipur.com,
,,,,,,1-3m-views-122k-reactions-sad-binita-thapa-2014255266015719.mp4
,,,,,,1-4m-views-52k-reactions-khem-adhikari-on-reels-783881551035110.mp4
,,,,,,1-5m-views-46k-reactions-gen-z-m-ar-ty-r-aayush-thapa-nepalgunj-banke-abp-crime-tv-1162036115852555.mp4
,,,,,,1m-views-44k-reactions-asahab-alam-nepal-update-1120210293410222.mp4
,,,,,,108k-reactions-2-9k-shares-genz-genzrevolution-viralvideo-nepalireels-nepaliinuk-susmita-gurung-4106804636203571.mp4
,,,,,,4-1k-reactions-22-shares-chocolaty-b-y-on-reels-644043141766896.mp4
,,,,,,56k-views-66k-reactions-laxmi-prasad-ngakhusi-on-reels-769394645724885.mp4
,,,,,,63k-views-3-5k-reactions-highlight-sangeetha-kathayat-bist-1555006432135400.mp4
,,,,,,663k-views-10k-reactions-bagmationline-genzpower-genz-bagmati-online-1439201010467238.mp4
,,,,,,73k-views-4-4k-reactions-ashanand-yadav-24456422773985513.mp4
,,,,,,746600991698137.mp4
,,,,,,97k-views-4-7k-reactions-ashanand-puneeta-blog-809501054990352.mp4
,,,,,,115k-views-4-6k-reactions-tribute-to-you-brother-pradip-jung-khaptadi-2750343501820839.mp4
,,,,,,1168868311741053.mp4
,,,,,,gen-z-1283131233000527.mp4
,,,,,,seriously-1250295906762990.mp4
,,,http://localhost:3000/images/1500x900_990599-pti09162025000195a.webp,,,
,,,http://localhost:3000/images/1758010836_1.jpg,,,
,,,http://localhost:3000/images/1758042430_222_Dark-future-uncertainty-lies-ahead-for-Nepal039s-Gen-Z-protest-victims039.jpeg,,,
,,,http://localhost:3000/images/42377.jpg,,,
,,,http://localhost:3000/images/4640311-333256152.jpg,,,
,,,http://localhost:3000/images/547211383_1233877072113300_1485117028804911691_n.jpg,,,
,,,http://localhost:3000/images/547648188_1238138331687174_955949851892644444_n.jpg,,,
,,,http://localhost:3000/images/548003452_1240820398085634_204444088298938469_n.jpg,,,
,,,http://localhost:3000/images/548031066_1238132615021079_2652590861220472916_n.jpg,,,
,,,http://localhost:3000/images/548315606_1238239265010414_5993165357959979424_n.jpg,,,
,,,http://localhost:3000/images/72801e1197f7e1132f3de5132d1e1edf.avif,,,
,,,http://localhost:3000/images/APTOPIX_Nepal_Protest_42018.jpg,,,
,,,http://localhost:3000/images/download%20(1).jpeg,,,
,,,http://localhost:3000/images/download.jpeg,,,
,,,http://localhost:3000/images/gettyimages-2235037950-612x612.jpg,,,
,,,http://localhost:3000/images/gettyimages-2235348937-612x612.jpg,,,
,,,http://localhost:3000/images/header-nepal-protest.jpg,,,
,,,http://localhost:3000/images/images%20(1).jpeg,,,
,,,http://localhost:3000/images/images%20(2).jpeg,,,
,,,http://localhost:3000/images/images%20(3).jpeg,,,
,,,http://localhost:3000/images/images.jpeg,,,
,,,http://localhost:3000/images/IMG_1571-scaled.webp,,,
,,,http://localhost:3000/images/man-with-flag.png,,,
,,,http://localhost:3000/images/nationalherald_2025-09-12_74vlk3m1_nepal-cremation1.webp,,,
,,,http://localhost:3000/images/NEPAL-POLITICS-INTERNET-LAW-PROTEST-4_1757325974187_1757325984962.avif,,,
,,,http://localhost:3000/images/nepal-protest-today-2.webp,,,
,,,http://localhost:3000/images/nepaldeath-four.webp,,,
,,,http://localhost:3000/images/nepaldeath-main_d.webp,,,
,,,http://localhost:3000/images/newindianexpress_2025-09-12_sctzruhq_PTI09122025000266A.avif,,,
,,,http://localhost:3000/images/PTI09_12_2025_000352B.webp,,,
,,,http://localhost:3000/images/PTI09_16_2025_000211B.jpg,,,
,,,http://localhost:3000/images/skynews-nepal-protests_7017681.jpg,,,
,,,http://localhost:3000/images/thumb.jpeg,,,
,,,http://localhost:3000/images/Untitled-design-75.avif,,,
,,,http://localhost:3000/images/wanted-ramesh-lekhak.jpeg,,,
,,,http://localhost:3000/images/ramesh-lekhak.png,,,
,,,http://localhost:3000/images/arrest-kp-oli-ramesh-lekhak.png,,,
